narration_id,source_type,source,country_family,event_id,match,date,seq,minute_raw,minute_num,text,flag_foul,flag_card,flag_goal,flag_var,flag_penalty,flag_sub,flag_severity
opta_760433_77,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,77,81',81.0,"Substitution, Algeria. Adil Boulbina replaces Ibrahim Maza.",0,0,0,0,0,1,0
opta_760433_78,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,78,82',82.0,"Substitution, Algeria. Ramiz Zerrouki replaces Nabil Bentaleb.",0,0,0,0,0,1,0
opta_760433_79,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,79,83',83.0,Foul by Facundo Medina (Argentina).,1,0,0,0,0,0,0
opta_760433_80,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,80,83',83.0,Riyad Mahrez (Algeria) wins a free kick on the right wing.,1,0,0,0,0,0,0
opta_760433_81,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,81,83',83.0,Foul by Julián Alvarez (Argentina).,1,0,0,0,0,0,0
opta_760433_82,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,82,83',83.0,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_83,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,83,85',85.0,Houssem Aouar (Algeria) wins a free kick in the attacking half.,1,0,0,0,0,0,0
opta_760433_84,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,84,85',85.0,Foul by Alexis Mac Allister (Argentina).,1,0,0,0,0,0,0
opta_760433_85,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,85,86',86.0,Attempt blocked. Riyad Mahrez (Algeria) left footed shot from outside the box is blocked.,0,0,0,0,0,0,0
opta_760433_86,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,86,90'+1',90.01,Fourth official has announced 6 minutes of added time.,0,0,0,0,0,0,0
